location,total_cases,total_deaths,people_fully_vaccinated,vaccinated_percentage,population
American Samoa,8359,34,,,44295
Andorra,48015,159,53501,67.0077527147026,79843
Aruba,44224,292,84368,79.24928845846757,106459
Bangladesh,2051348,29499,142201684,83.06834572248182,171186368
Barbados,108582,593,155047,55.05031138379384,281646
Belarus,994037,7118,6414996,67.27871633597469,9534956
Bhutan,62697,21,677669,86.60782637256744,782457
Bolivia,1212147,22387,6160585,50.39698582653925,12224114
Burundi,54569,15,36321,0.2817856869380491,12889583
Cape Verde,64474,417,308720,52.04648982908547,593162
Cayman Islands,31472,37,60696,88.32106166875236,68722
Central African Republic,15441,113,2484985,44.54058218208228,5579148
Chile,5401126,64482,17700117,90.2895091017345,19603736
Congo,25227,389,654119,10.955978045132428,5970430
Cote d'Ivoire,88434,835,12164304,43.196261663657964,28160548
Croatia,1317144,18752,2251809,55.871149011217604,4030361
Cuba,1113662,8530,10053658,89.66714644175924,11212198
Cyprus,696410,1451,646142,72.11349911328819,896007
Czechia,4761919,43509,6895763,65.71154537025478,10493990
Denmark,3435679,9693,4712002,80.10531328185311,5882259
Estonia,610471,2998,862748,65.06081154454084,1326064
French Polynesia,79387,650,186803,60.988533817403,306292
Gabon,49051,307,257471,10.77736807538896,2388997
Georgia,1863615,17150,1276173,34.082312582707175,3744385
Gibraltar,20550,113,41465,100.0,32677
Guadeloupe,203235,1021,,,395762
Hong Kong,,,6803327,90.84592681158675,7488863
Iceland,210374,186,290193,77.81996926814749,372903
Indonesia,6829399,162059,174965137,63.50790687975736,275501344
Iran,7627863,146837,58585264,66.16023513254031,88550568
Ireland,1745088,9744,4065584,80.93761870140956,5023108
Isle of Man,38008,116,67106,79.38344334823859,84534
Israel,4841558,12707,6159825,65.19023177055773,9449000
Italy,26781078,197307,47947097,81.21468514098977,59037472
Kuwait,667290,2570,3346176,78.38522743404252,4268886
Laos,219060,671,5222417,69.35962484512537,7529477
Liechtenstein,21588,89,,,39355
Lithuania,1369355,9810,1881106,68.40241187640406,2750058
Malta,122796,922,471565,88.42512465005166,533293
Marshall Islands,16297,17,,,41593
Martinique,230354,1104,,,367512
Mauritania,63872,997,1540597,32.52849468745262,4736146
Mexico,7619458,334551,81849962,64.19397428098794,127504120
Monaco,17181,67,25667,70.33789153489901,36491
Montenegro,251280,2654,284869,45.42771120842251,627082
Morocco,1279115,16305,23521989,62.795675345619316,37457976
Nauru,5393,1,11346,89.40193838153021,12691
Niger,9518,315,5483001,20.92111098061652,26207982
Nigeria,267188,3155,81297808,37.20021764681679,218541216
North Korea,0,0,,,26069416
Northern Cyprus,,,313067,81.77574731738918,382836
Norway,1512647,5732,4054726,74.6132545648732,5434324
Oman,399449,4628,3048826,66.62207460175252,4576300
Palestine,703228,5708,1776973,33.84661479186206,5250076
Panama,1044821,8748,3174155,71.99945469994661,4408582
Pitcairn,4,0,47,100.0,47
Puerto Rico,1252713,5938,,,3252412
Saint Barthelemy,5507,5,,,10994
Saint Kitts and Nevis,6607,46,27000,56.62632914578134,47681
Saint Pierre and Miquelon,3426,2,,,5885
Saint Vincent and the Grenadines,9674,124,31632,30.427380024817474,103959
Sao Tome and Principe,6771,80,111986,49.24777807584226,227393
Somalia,27334,1361,7666835,43.567731294681046,17597508
South Korea,34571873,35934,44372679,85.63540879262173,51815808
Spain,13980340,121852,40739123,85.66083860444094,47558632
Suriname,82501,1406,237879,38.48888270452361,618046
Tajikistan,17786,125,5191919,52.16546839282938,9952789
Thailand,4799180,34715,53486086,74.60014797824802,71697024
Turkmenistan,0,0,4568901,71.0474177537178,6430777
Tuvalu,2943,1,9505,83.85531539479489,11335
Ukraine,5532777,109920,15741036,39.64822301005215,39701744
Uruguay,1041346,7682,2903089,84.81630222776934,3422796
Venezuela,552695,5856,14966671,52.88258655840462,28301700
Zimbabwe,266386,5740,4751270,29.112212531706216,16320539
